date;MVBCH
20180830;890.91
20180831;908.33
20180901;1053.44
20180902;1091.16
20180903;1052.87
20180904;1073.46
20180905;903.71
20180906;858.41
20180907;845.7
20180908;827.72
20180909;814.95
20180910;788.16
20180911;752.74
20180912;705.76
20180913;775.29
20180914;769.17
20180915;770.93
20180916;740.64
20180917;705.89
20180918;741.19
20180919;715.75
20180920;723.09
20180921;816.64
20180922;811.14
20180923;822.04
20180924;798.4
20180925;692.79
20180926;963.42
20180927;944.18
20180928;909.35
20180929;905.05
