Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
FBS,,,,,,,,,20181006,3000000.0,1.0,,,,
GBPUSD=X,1.3121465,2018/10/05,22:30 BST,0.010080218,1.3020663,1.3122154,1.3003732,0,20181006,3000000.0,1.0,,7000000.0,1000000.0,ATR
